,to_rent,price,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,area_of_the_terrace,garden,area_of_the_garden,swimming_pool,state_of_the_building,zipcode,type,region,region_be
2563,True,690.0,2.0,160.50541498310923,True,False,False,True,24.0,False,0.0,False,bon,9870,Rez-de-chaussée,East Flanders,Region Flanders
2564,True,850.0,3.0,162.0,True,False,False,True,24.0,True,1000.0,False,excellentétat,5570,Maison,Namur,Region Walloonie
2565,True,880.0,2.0,100.0,True,True,False,False,0.0,False,0.0,False,bon,7500,Duplex,Walloon Region,Region Walloonie
2566,True,690.0,3.0,100.0,True,False,False,True,17.0,False,0.0,False,bon,7021,Maison,Walloon Region,Region Walloonie
2567,True,950.0,1.0,82.0,True,False,False,True,11.0,False,0.0,False,excellentétat,2970,Appartement,Antwerp,Region Flanders
2568,True,990.0,3.0,119.0,True,False,False,True,17.0,False,0.0,False,excellentétat,3020,Appartement,Flemish Region,Region Flanders
2569,True,720.0,2.0,100.0,True,False,False,True,40.0,False,0.0,False,excellentétat,9770,Loft,East Flanders,Region Flanders
2570,True,700.0,1.0,63.0,True,False,False,False,0.0,False,0.0,False,excellentétat,5030,Appartement,Namur,Region Walloonie
2571,True,795.0,2.0,135.0,True,False,False,False,0.0,False,0.0,False,bon,4500,Penthouse,Liège,Region Walloonie
2572,True,1360.0,3.0,160.50541498310923,True,False,False,False,0.0,True,50.0,False,bon,1490,Villa,Walloon Brabant,Region Walloonie
2573,True,1450.0,2.0,84.0,True,False,False,True,9.0,False,0.0,False,excellentétat,1050,Appartement,Brussels,Brussels
2574,True,1100.0,3.0,136.0,True,False,False,True,25.0,True,50.0,False,excellentétat,4280,Maison,Liège,Region Walloonie
2575,True,350.0,1.0,160.50541498310923,True,True,False,False,0.0,False,0.0,False,bon,6060,Appartement,Hainaut,Region Walloonie
2576,True,1500.0,2.0,125.0,True,True,False,True,23.0,True,30.0,True,bon,1150,Appartement,Brussels,Brussels
2577,True,560.0,1.0,160.50541498310923,True,False,False,True,24.0,False,0.0,False,fraîchementrénové,4000,Studio,Liège,Region Walloonie
2578,True,1800.0,1.0,88.0,True,True,False,False,0.0,True,900.0,False,bon,1050,Appartement,Brussels,Brussels
2579,True,850.0,3.0,140.0,True,False,False,True,25.0,False,0.0,False,bon,4257,Duplex,Liège,Region Walloonie
2580,True,1250.0,4.0,175.0,True,False,False,True,24.0,True,50.0,False,excellentétat,5310,Maison,Namur,Region Walloonie
2581,True,970.0,2.0,80.0,True,False,False,True,3.0,False,0.0,False,bon,1050,Appartement,Brussels,Brussels
2582,True,825.0,2.0,135.0,True,False,False,True,17.0,False,0.0,False,bon,8400,Appartement,Walloon Region,Region Walloonie
2583,True,950.0,2.0,94.0,True,False,False,True,15.0,True,100.0,False,excellentétat,1325,Rez-de-chaussée,Walloon Brabant,Region Walloonie
2584,True,1350.0,3.0,110.0,True,False,False,True,35.0,False,0.0,False,bon,2000,Appartement,Antwerp,Region Flanders
2585,True,850.0,1.0,110.0,True,False,False,True,17.0,False,0.0,False,bon,2020,Appartement,Antwerp,Region Flanders
2586,True,975.0,2.0,105.0,True,False,False,False,0.0,True,129.0,False,fraîchementrénové,9100,Maison,East Flanders,Region Flanders
2587,True,990.0,1.0,63.0,True,False,False,False,0.0,False,0.0,False,excellentétat,2880,Appartementdeservice,Antwerp,Region Flanders
2588,True,800.0,1.0,160.50541498310923,True,False,False,True,24.0,False,0.0,False,fraîchementrénové,2000,Appartement,Antwerp,Region Flanders
2589,True,1100.0,3.0,160.50541498310923,True,False,False,True,24.0,False,0.0,False,àrénover,9230,Maison,East Flanders,Region Flanders
2590,True,725.0,2.0,90.0,True,False,False,True,3.0,False,0.0,False,bon,3300,Appartement,Flemish Region,Region Flanders
2591,True,925.0,1.0,160.50541498310923,True,True,False,False,0.0,False,0.0,False,àrafraîchir,6041,Loft,Hainaut,Region Walloonie
2592,True,1700.0,3.0,150.0,True,False,False,True,24.0,False,0.0,False,excellentétat,1200,Appartement,Brussels,Brussels
2593,True,460.0,1.0,45.0,True,False,False,False,0.0,False,0.0,False,bon,7500,Appartement,Walloon Region,Region Walloonie
2594,True,900.0,3.0,200.0,True,False,False,True,25.0,True,658.0,False,excellentétat,6997,Maison,Luxembourg,Region Walloonie
2595,True,750.0,3.0,120.0,True,False,True,True,20.0,True,200.0,False,bon,6987,Maison,Luxembourg,Region Walloonie
2596,True,710.0,2.0,160.50541498310923,True,False,False,True,24.0,False,0.0,False,bon,8490,Rez-de-chaussée,Walloon Region,Region Walloonie
2597,True,910.0,1.0,75.0,True,False,False,False,0.0,False,0.0,False,bon,1000,Appartement,Brussels,Brussels
2598,True,1250.0,2.0,100.0,True,False,False,False,0.0,False,0.0,False,excellentétat,1040,Appartement,Brussels,Brussels
2599,True,2000.0,2.0,140.0,True,False,False,True,100.0,False,0.0,False,excellentétat,1050,Appartement,Brussels,Brussels
2600,True,700.0,1.0,45.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,1435,Appartement,Walloon Brabant,Region Walloonie
2601,True,650.0,1.0,85.0,True,False,False,False,0.0,False,0.0,False,àrénover,6000,Appartement,Hainaut,Region Walloonie
2602,True,1350.0,2.0,98.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,1000,Appartement,Brussels,Brussels
2603,True,1500.0,2.0,160.50541498310923,True,False,False,True,24.0,False,0.0,False,excellentétat,2150,Appartement,Antwerp,Region Flanders
2604,True,950.0,1.0,76.0,True,True,False,True,3.0,False,0.0,False,excellentétat,2018,Appartement,Antwerp,Region Flanders
2605,True,1500.0,2.0,85.0,True,True,False,True,9.0,False,0.0,False,excellentétat,1160,Penthouse,Brussels,Brussels
2606,True,1600.0,3.0,135.0,True,False,False,True,20.0,False,0.0,False,excellentétat,8300,Appartement,Walloon Region,Region Walloonie
2607,True,525.0,1.0,50.0,True,False,False,False,0.0,False,0.0,False,bon,4020,Appartement,Liège,Region Walloonie
2608,True,1490.0,2.0,102.0,True,False,False,False,0.0,False,0.0,False,bon,1050,Appartement,Brussels,Brussels
2609,True,900.0,3.0,95.0,True,False,False,False,0.0,False,0.0,False,bon,5030,Appartement,Namur,Region Walloonie
2610,True,1200.0,3.0,175.0,True,True,False,True,35.0,False,0.0,False,excellentétat,9820,Duplex,East Flanders,Region Flanders
2611,True,815.0,3.0,160.0,True,False,False,True,24.0,True,250.0,False,bon,4040,Maison,Liège,Region Walloonie
2612,True,2150.0,1.0,79.0,True,True,False,True,15.0,False,0.0,False,excellentétat,1000,Duplex,Brussels,Brussels
2613,True,2400.0,2.0,102.0,True,True,False,True,10.0,False,0.0,False,excellentétat,1000,Duplex,Brussels,Brussels
2614,True,1600.0,1.0,62.0,True,True,False,True,4.0,False,0.0,False,excellentétat,1000,Appartement,Brussels,Brussels
2615,True,1650.0,1.0,52.0,True,True,False,True,4.0,False,0.0,False,excellentétat,1000,Duplex,Brussels,Brussels
2616,True,1150.0,2.0,65.0,True,True,False,False,0.0,False,0.0,False,bon,1000,Appartement,Brussels,Brussels
2617,True,540.0,1.0,53.0,True,False,False,False,0.0,False,0.0,False,bon,7603,Appartement,Walloon Region,Region Walloonie
2618,True,800.0,2.0,86.0,True,False,False,True,2.0,False,0.0,False,bon,8400,Appartement,Walloon Region,Region Walloonie
2619,True,730.0,2.0,160.50541498310923,True,False,False,True,4.0,False,0.0,False,bon,8790,Appartement,Walloon Region,Region Walloonie
2620,True,750.0,2.0,80.0,True,False,False,True,10.0,False,0.0,False,excellentétat,8790,Appartement,Walloon Region,Region Walloonie
2621,True,1650.0,3.0,165.0,True,False,False,True,5.0,True,85.0,False,bon,1020,Loft,Brussels,Brussels
2622,True,950.0,2.0,100.0,True,True,False,False,0.0,False,0.0,False,excellentétat,4340,Appartement,Liège,Region Walloonie
2623,True,1100.0,1.0,56.0,True,False,False,False,0.0,False,0.0,False,excellentétat,1150,Appartement,Brussels,Brussels
2624,True,720.0,2.0,108.0,True,False,False,False,0.0,True,0.0,False,bon,8900,Maison,Walloon Region,Region Walloonie
2625,True,1250.0,1.0,185.0,True,False,False,True,25.0,False,0.0,False,bon,9000,Appartement,East Flanders,Region Flanders
2626,True,800.0,1.0,60.0,True,True,False,False,0.0,False,0.0,False,bon,2000,Appartement,Antwerp,Region Flanders
2627,True,1500.0,4.0,192.0,True,False,False,False,0.0,True,50.0,False,bon,2320,Maison,Antwerp,Region Flanders
2628,True,710.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,8400,Appartement,Walloon Region,Region Walloonie
2629,True,900.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,3650,Appartement,Limburg,Region Flanders
2630,True,800.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,3680,Appartement,Limburg,Region Flanders
2631,True,650.0,2.0,75.0,False,False,False,True,9.0,False,0.0,False,excellentétat,4000,Appartement,Liège,Region Walloonie
2632,True,950.0,1.0,70.0,True,False,False,True,6.0,False,0.0,False,excellentétat,1780,Appartement,Flemish Brabant,Region Flanders
2633,True,650.0,2.0,86.0,True,False,False,True,10.0,False,0.0,False,bon,9810,Appartement,East Flanders,Region Flanders
2634,True,890.0,3.0,174.0,True,False,False,True,24.0,False,0.0,False,bon,4500,Penthouse,Liège,Region Walloonie
2635,True,1350.0,3.0,114.0,True,False,False,True,10.0,False,0.0,False,excellentétat,1780,Penthouse,Flemish Brabant,Region Flanders
2636,True,830.0,2.0,100.0,True,False,False,True,10.0,False,0.0,False,excellentétat,5150,Appartement,Namur,Region Walloonie
2637,True,980.0,2.0,90.0,True,False,False,True,25.0,False,0.0,False,bon,1410,Appartement,Walloon Brabant,Region Walloonie
2638,True,1500.0,2.0,127.0,True,False,False,True,8.0,False,0.0,False,excellentétat,1040,Appartement,Brussels,Brussels
