,to_rent,price,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,area_of_the_terrace,garden,area_of_the_garden,swimming_pool,state_of_the_building,zipcode,type,region,region_be,price_perm2
135,True,850.0,2.0,117.0,True,False,False,True,17.0,False,0.0,False,bon,8800,Appartement,Walloon Region,Region Walloonie,7.264957264957265
136,True,900.0,2.0,85.0,True,False,False,True,6.0,False,0.0,False,excellentétat,2660,Appartement,Antwerp,Region Flanders,10.588235294117647
137,True,920.0,1.0,48.0,True,False,False,True,10.0,False,0.0,False,bon,3840,Appartementdeservice,Limburg,Region Flanders,19.166666666666668
138,True,1586.0,2.0,99.0,True,False,False,True,10.0,False,0.0,False,àrafraîchir,3840,Appartementdeservice,Limburg,Region Flanders,16.02020202020202
139,True,3800.0,3.0,200.0,True,True,True,True,250.0,False,0.0,False,excellentétat,1050,Penthouse,Brussels,Brussels,19.0
140,True,1830.0,1.0,160.50541498310923,True,True,False,False,0.0,False,0.0,False,excellentétat,2018,Studio,Antwerp,Region Flanders,11.401484493171647
141,True,700.0,1.0,28.0,True,False,False,False,0.0,False,0.0,False,excellentétat,1000,Studio,Brussels,Brussels,25.0
142,True,2400.0,3.0,200.0,True,False,False,True,5.0,False,0.0,False,excellentétat,1000,Appartement,Brussels,Brussels,12.0
143,True,950.0,2.0,85.0,True,False,False,True,17.0,False,0.0,False,fraîchementrénové,1020,Appartement,Brussels,Brussels,11.176470588235293
144,True,850.0,2.0,119.0,True,False,False,False,0.0,False,0.0,False,excellentétat,8550,Appartement,Walloon Region,Region Walloonie,7.142857142857143
145,True,1200.0,3.0,158.0,True,False,False,True,35.0,False,0.0,False,bon,9000,Maison,East Flanders,Region Flanders,7.594936708860759
146,True,1500.0,3.0,150.0,True,False,False,True,7.0,True,50.0,False,bon,1200,Rez-de-chaussée,Brussels,Brussels,10.0
147,True,850.0,1.0,90.0,True,False,False,True,2.0,False,0.0,False,bon,1020,Appartement,Brussels,Brussels,9.444444444444445
148,True,1665.0,2.0,95.0,True,False,False,False,0.0,False,0.0,False,excellentétat,1000,Appartement,Brussels,Brussels,17.526315789473685
149,True,850.0,2.0,110.0,True,False,False,True,17.0,False,0.0,False,excellentétat,4000,Duplex,Liège,Region Walloonie,7.7272727272727275
150,True,570.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,excellentétat,6000,Appartement,Hainaut,Region Walloonie,3.551282055250185
151,True,920.0,2.0,140.0,True,False,False,True,57.0,True,80.0,False,excellentétat,5100,Appartement,Namur,Region Walloonie,6.571428571428571
152,True,1850.0,2.0,160.50541498310923,True,True,False,True,10.0,False,0.0,False,excellentétat,7000,Appartement,Walloon Region,Region Walloonie,11.526090881075161
153,True,800.0,2.0,80.0,True,False,False,False,0.0,False,0.0,False,excellentétat,8500,Appartement,Walloon Region,Region Walloonie,10.0
154,True,2800.0,3.0,150.0,True,False,False,True,50.0,False,0.0,False,excellentétat,1180,Appartement,Brussels,Brussels,18.666666666666668
155,True,650.0,1.0,85.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.647058823529412
156,True,650.0,1.0,85.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.647058823529412
157,True,2600.0,3.0,160.0,True,True,False,True,24.0,False,0.0,False,bon,1050,Appartement,Brussels,Brussels,16.25
158,True,650.0,1.0,84.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.738095238095238
159,True,650.0,1.0,82.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.926829268292683
160,True,650.0,1.0,85.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.647058823529412
161,True,650.0,1.0,83.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.831325301204819
162,True,650.0,1.0,83.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.831325301204819
163,True,650.0,1.0,82.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.926829268292683
164,True,650.0,1.0,85.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.647058823529412
165,True,745.0,2.0,95.0,True,False,False,True,1.0,True,1.0,False,fraîchementrénové,6724,Rez-de-chaussée,Luxembourg,Region Walloonie,7.842105263157895
166,True,925.0,3.0,180.0,True,False,False,False,0.0,False,0.0,False,excellentétat,7110,Appartement,Walloon Region,Region Walloonie,5.138888888888889
167,True,650.0,1.0,84.0,True,False,False,True,10.0,False,0.0,False,bon,9600,Appartement,East Flanders,Region Flanders,7.738095238095238
168,True,650.0,1.0,83.0,True,False,False,True,10.0,False,0.0,False,bon,9600,Appartement,East Flanders,Region Flanders,7.831325301204819
169,True,650.0,1.0,83.0,True,False,False,True,11.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.831325301204819
170,True,650.0,1.0,84.0,True,False,False,True,10.0,False,0.0,False,bon,9600,Appartement,East Flanders,Region Flanders,7.738095238095238
171,True,650.0,1.0,82.0,True,False,False,True,10.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.926829268292683
172,True,650.0,1.0,84.0,True,False,False,True,10.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.738095238095238
173,True,650.0,1.0,82.0,True,False,False,True,10.0,False,0.0,False,bon,9600,Appartement,East Flanders,Region Flanders,7.926829268292683
174,True,650.0,1.0,84.0,True,False,False,True,10.0,False,0.0,False,bon,9600,Appartement,East Flanders,Region Flanders,7.738095238095238
175,True,1400.0,3.0,178.0,True,False,False,True,24.0,False,0.0,False,bon,1332,Villa,Walloon Brabant,Region Walloonie,7.865168539325842
176,True,1550.0,2.0,130.0,True,False,False,True,10.0,False,0.0,False,bon,1180,Appartement,Brussels,Brussels,11.923076923076923
177,True,775.0,2.0,85.0,True,False,False,True,4.0,False,0.0,False,fraîchementrénové,5000,Appartement,Namur,Region Walloonie,9.117647058823529
178,True,690.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,4630,Maison,Liège,Region Walloonie,4.298920382671277
179,True,730.0,1.0,54.0,True,False,False,True,15.0,False,0.0,False,excellentétat,2880,Appartement,Antwerp,Region Flanders,13.518518518518519
180,True,699.0,2.0,111.0,True,False,False,False,0.0,False,0.0,False,bon,7500,Appartement,Walloon Region,Region Walloonie,6.297297297297297
181,True,630.0,1.0,55.0,True,False,False,False,0.0,False,0.0,False,bon,5100,Appartement,Namur,Region Walloonie,11.454545454545455
182,True,590.0,2.0,60.0,True,False,False,False,0.0,False,0.0,False,bon,7603,Appartement,Walloon Region,Region Walloonie,9.833333333333334
183,True,450.0,1.0,51.0,True,False,False,False,0.0,False,0.0,False,excellentétat,7971,Appartement,Walloon Region,Region Walloonie,8.823529411764707
184,True,845.0,2.0,80.0,True,False,False,True,14.0,False,0.0,False,excellentétat,9500,Appartement,East Flanders,Region Flanders,10.5625
185,True,800.0,3.0,80.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,9120,Appartement,East Flanders,Region Flanders,10.0
186,True,650.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,3680,Appartement,Limburg,Region Flanders,4.049707606864246
187,True,3800.0,3.0,150.0,True,True,False,True,165.0,False,0.0,False,excellentétat,1050,Penthouse,Brussels,Brussels,25.333333333333332
188,True,695.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,excellentétat,9988,Appartementdeservice,East Flanders,Region Flanders,4.330071979647156
189,True,650.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,excellentétat,9988,Appartementdeservice,East Flanders,Region Flanders,4.049707606864246
190,True,640.0,2.0,65.0,True,False,False,False,0.0,False,0.0,False,bon,5003,Appartement,Namur,Region Walloonie,9.846153846153847
191,True,2250.0,4.0,190.0,True,False,False,True,25.0,True,200.0,False,excellentétat,1180,Appartement,Brussels,Brussels,11.842105263157896
