,to_rent,price,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,area_of_the_terrace,garden,area_of_the_garden,swimming_pool,state_of_the_building,zipcode,type,region,region_be,price_perm2
200,True,3800.0,2.0,151.0,True,True,False,True,170.0,False,0.0,False,excellentétat,1050,Penthouse,Brussels,Brussels,25.165562913907284
201,True,860.0,2.0,65.0,True,False,False,True,10.0,False,0.0,False,bon,1380,Appartement,Walloon Brabant,Region Walloonie,13.23076923076923
202,True,550.0,1.0,38.0,True,False,False,False,0.0,False,0.0,False,excellentétat,5150,Appartement,Namur,Region Walloonie,14.473684210526317
203,True,630.0,1.0,160.50541498310923,True,False,False,True,8.0,False,0.0,False,excellentétat,3720,Appartementdeservice,Limburg,Region Flanders,3.9251012189607306
204,True,1650.0,5.0,150.0,True,False,True,True,24.0,True,50.0,False,bon,1457,Villa,Walloon Brabant,Region Walloonie,11.0
205,True,680.0,1.0,70.0,True,False,False,True,5.0,False,0.0,False,bon,5000,Appartement,Namur,Region Walloonie,9.714285714285714
206,True,1100.0,2.0,85.0,True,False,False,True,16.0,True,22.0,False,bon,1200,Rez-de-chaussée,Brussels,Brussels,12.941176470588236
207,True,845.0,2.0,160.50541498310923,True,False,False,True,3.0,False,0.0,False,bon,2100,Appartement,Antwerp,Region Flanders,5.26461988892352
208,True,900.0,3.0,110.0,True,False,False,True,11.0,False,0.0,False,excellentétat,5001,Appartement,Namur,Region Walloonie,8.181818181818182
209,True,755.0,2.0,115.0,True,False,False,False,0.0,False,0.0,False,bon,8000,Appartement,Walloon Region,Region Walloonie,6.565217391304348
210,True,1150.0,2.0,84.0,True,False,False,True,10.0,True,0.0,False,excellentétat,6780,Appartement,Luxembourg,Region Walloonie,13.69047619047619
211,True,2200.0,3.0,170.0,True,False,False,True,4.0,False,0.0,False,excellentétat,1050,Appartement,Brussels,Brussels,12.941176470588236
212,True,4000.0,3.0,200.0,True,False,False,True,50.0,False,0.0,False,fraîchementrénové,1000,Appartement,Brussels,Brussels,20.0
213,True,620.0,1.0,60.0,True,False,False,False,0.0,False,0.0,False,bon,5004,Appartement,Namur,Region Walloonie,10.333333333333334
214,True,650.0,1.0,68.0,True,False,False,False,0.0,False,0.0,False,excellentétat,5003,Appartement,Namur,Region Walloonie,9.558823529411764
215,True,1250.0,4.0,160.50541498310923,True,False,False,False,0.0,True,50.0,False,excellentétat,7062,Maison,Walloon Region,Region Walloonie,7.787899243969704
216,True,850.0,2.0,160.50541498310923,True,False,False,True,24.0,True,50.0,False,fraîchementrénové,4100,Maison,Liège,Region Walloonie,5.295771485899399
217,True,750.0,2.0,100.0,True,False,False,False,0.0,False,0.0,False,excellentétat,3530,Duplex,Limburg,Region Flanders,7.5
218,True,1495.0,3.0,126.0,True,False,False,True,14.0,False,0.0,False,excellentétat,9830,Appartement,East Flanders,Region Flanders,11.865079365079366
219,True,750.0,2.0,85.0,True,False,False,True,12.0,True,300.0,False,fraîchementrénové,4950,Appartement,Liège,Region Walloonie,8.823529411764707
220,True,795.0,2.0,100.0,True,True,False,False,0.0,False,0.0,False,bon,6000,Appartement,Hainaut,Region Walloonie,7.95
221,True,875.0,2.0,104.0,True,False,False,True,5.0,True,200.0,False,excellentétat,2300,Appartement,Antwerp,Region Flanders,8.413461538461538
222,True,2250.0,2.0,125.0,True,False,False,True,6.0,False,0.0,False,excellentétat,1000,Appartement,Brussels,Brussels,18.0
223,True,685.0,2.0,138.0,True,False,False,False,0.0,True,1.0,False,bon,3803,Appartement,Limburg,Region Flanders,4.963768115942029
224,True,600.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,excellentétat,7000,Appartement,Walloon Region,Region Walloonie,3.7381916371054578
225,True,725.0,1.0,64.0,True,False,False,True,4.0,False,0.0,False,excellentétat,5100,Appartement,Namur,Region Walloonie,11.328125
226,True,1050.0,5.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,7050,Maison,Walloon Region,Region Walloonie,6.541835364934552
227,True,950.0,2.0,84.0,True,False,False,True,5.0,False,0.0,False,bon,1730,Appartement,Flemish Brabant,Region Flanders,11.30952380952381
228,True,950.0,2.0,80.0,True,False,False,True,4.0,False,0.0,False,excellentétat,1730,Appartement,Flemish Brabant,Region Flanders,11.875
229,True,950.0,2.0,82.0,True,False,False,True,7.0,False,0.0,False,àrénover,1730,Appartement,Flemish Brabant,Region Flanders,11.585365853658535
230,True,775.0,2.0,77.0,True,False,False,True,4.0,False,0.0,False,bon,5030,Appartement,Namur,Region Walloonie,10.064935064935066
231,True,875.0,2.0,90.0,True,False,False,True,5.0,False,0.0,False,bon,1457,Appartement,Walloon Brabant,Region Walloonie,9.72222222222222
232,True,875.0,2.0,90.0,True,False,False,True,5.0,False,0.0,False,bon,1435,Appartement,Walloon Brabant,Region Walloonie,9.72222222222222
233,True,1300.0,4.0,155.0,True,False,False,False,0.0,True,100.0,False,fraîchementrénové,1840,Maison,Flemish Brabant,Region Flanders,8.387096774193548
234,True,1375.0,2.0,100.0,True,False,False,True,12.0,False,0.0,False,excellentétat,2000,Appartement,Antwerp,Region Flanders,13.75
235,True,700.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,6000,Appartement,Hainaut,Region Walloonie,4.3612235766230345
236,True,475.0,1.0,23.0,True,True,False,False,0.0,False,0.0,False,bon,7500,Appartement,Walloon Region,Region Walloonie,20.65217391304348
237,True,1650.0,3.0,165.0,True,False,False,True,35.0,True,5.0,False,excellentétat,1020,Maison,Brussels,Brussels,10.0
238,True,750.0,2.0,116.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,4802,Appartement,Liège,Region Walloonie,6.465517241379311
239,True,1450.0,2.0,120.0,True,True,False,True,17.0,True,0.0,False,excellentétat,2100,Appartement,Antwerp,Region Flanders,12.083333333333334
240,True,1040.0,2.0,104.0,True,False,False,True,15.0,True,100.0,False,excellentétat,9000,Appartement,East Flanders,Region Flanders,10.0
241,True,930.0,2.0,100.0,True,False,False,True,1.0,False,0.0,False,excellentétat,6600,Duplex,Luxembourg,Region Walloonie,9.3
242,True,600.0,2.0,104.0,True,False,False,True,17.0,False,0.0,False,bon,8870,Appartement,Walloon Region,Region Walloonie,5.769230769230769
243,True,1200.0,2.0,157.0,True,False,False,False,0.0,False,0.0,False,excellentétat,1000,Appartement,Brussels,Brussels,7.643312101910828
244,True,800.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,5000,Appartement,Namur,Region Walloonie,4.98425551614061
245,True,1450.0,3.0,140.0,True,False,False,True,40.0,False,0.0,False,àrafraîchir,1200,Penthouse,Brussels,Brussels,10.357142857142858
246,True,950.0,3.0,130.0,True,False,False,False,0.0,False,0.0,False,bon,5000,Maison,Namur,Region Walloonie,7.3076923076923075
247,True,1995.0,2.0,160.50541498310923,True,True,False,False,0.0,False,0.0,False,excellentétat,2000,Appartement,Antwerp,Region Flanders,12.429487193375648
248,True,1125.0,3.0,115.0,True,False,False,True,34.0,True,75.0,False,fraîchementrénové,3001,Rez-de-chaussée,Flemish Region,Region Flanders,9.782608695652174
249,True,799.0,3.0,148.0,True,False,False,True,30.0,False,0.0,False,fraîchementrénové,3800,Triplex,Limburg,Region Flanders,5.398648648648648
250,True,1800.0,2.0,130.0,True,False,False,True,15.0,True,80.0,False,bon,1150,Rez-de-chaussée,Brussels,Brussels,13.846153846153848
251,True,690.0,2.0,100.0,True,False,False,False,0.0,False,0.0,False,excellentétat,4870,Loft,Liège,Region Walloonie,6.9
252,True,550.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,5500,Appartement,Namur,Region Walloonie,3.42667566734667
253,True,570.0,1.0,60.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,6000,Appartement,Hainaut,Region Walloonie,9.5
254,True,490.0,1.0,54.0,True,False,False,False,0.0,False,0.0,False,excellentétat,6000,Appartement,Hainaut,Region Walloonie,9.074074074074074
255,True,820.0,1.0,55.0,True,False,False,True,10.0,False,0.0,False,fraîchementrénové,3500,Appartement,Limburg,Region Flanders,14.909090909090908
256,True,860.0,3.0,160.50541498310923,True,False,False,True,24.0,False,0.0,False,excellentétat,9230,Maison,East Flanders,Region Flanders,5.358074679851156
257,True,590.0,1.0,80.0,True,False,False,True,5.0,False,0.0,False,bon,5000,Appartement,Namur,Region Walloonie,7.375
